mz	mzmin	mzmax	rt	rtmin	rtmax	into	intb	maxo	sn	sample
262.238145876731	262.238098144531	262.238220214844	131.314001083374	130.242004394531	132.599000930786	4431374.67085687	4431303.97410432	3193920	60192	1
262.238125651336	262.237274169922	262.239196777344	136.457004547119	132.599000930786	138.171000480652	351496.001482983	351336.907612133	526966.5	294	1
119.086055750732	119.085960388184	119.086334228516	215.234999656677	213.691005706787	216.092004776001	119225.170420082	119040.215171685	161761.75	682	1
119.086001074581	119.08576965332	119.086357116699	217.378005981445	216.092004776001	218.234996795654	15588.2614456611	15426.84960709	9928.8671875	38	1
119.085961544374	119.084899902344	119.086410522461	211.97699546814	211.120004653931	213.691005706787	2867.75479034754	2725.23553485656	3367.7890625	13	1
