mz	mzmin	mzmax	rt	rtmin	rtmax	into	intb	maxo	sn	sample
119.086234457834	119.085678100586	119.086990356445	222.093000411987	221.235995292664	222.736001014709	6803.66392814953	6698.87355583304	5246.2890625	31	1
119.085957302729	119.085655212402	119.086524963379	217.378005981445	216.093006134033	218.450002670288	28552.5338379565	28372.9050362166	21247.71875	89	1
119.085939160943	119.085838317871	119.086044311523	215.234999656677	213.692007064819	216.093006134033	187358.412451465	187190.678700388	255653	1512	1
119.086234457834	119.085678100586	119.086990356445	222.093000411987	221.235995292664	222.736001014709	6803.66392814953	6698.87355583304	5246.2890625	31	1
119.085957302729	119.085655212402	119.086524963379	217.378005981445	216.093006134033	218.450002670288	28552.5338379565	28372.9050362166	21247.71875	89	1
119.085632180047	119.084899902344	119.086959838867	211.97699546814	211.333994865417	213.049006462097	4258.84337109514	4127.85436284027	5246.91015625	22	1
