mz	mzmin	mzmax	rt	rtmin	rtmax	into	intb	maxo	sn	sample
119.085943817326	119.085823059082	119.086441040039	215.236001014709	213.692007064819	216.093006134033	98373.4261185885	98163.5328072573	149459.125	826	1
119.08583735433	119.085426330566	119.086082458496	217.378993034363	216.093006134033	218.235998153687	16350.2340682866	16167.0585943315	10543.3984375	58	1
119.085934654765	119.085823059082	119.085998535156	215.450005531311	215.450005531311	216.093006134033	27848.6491380259	27782.0292034859	66801	826	1
